42539050 & 103924773 & 32628792 & 57183195 \\ 
40813971 & 102395028 & 37110668 & 68804679 \\ 
39819232 & 122894078 & 32314377 & 54977907 \\ 
40795619 & 125992297 & 36838422 & 69739436 \\ 
43357296 & 107999242 & 32814571 & 60704349 \\ 
42155965 & 105743873 & 36269385 & 73187944 \\ 
41843010 & 128504863 & 34124673 & 58446477 \\ 
41487369 & 129595504 & 36135470 & 73248877 \\ 
0 & 0 & 0 & 0 \\ 
411 & 1022 & 324 & 571 \\ 
401 & 1023 & 375 & 686 \\ 
415 & 1244 & 337 & 605 \\ 
404 & 1252 & 366 & 693 \\ 
427 & 1040 & 319 & 608 \\ 
415 & 1049 & 367 & 735 \\ 
432 & 1287 & 347 & 588 \\ 
416 & 1294 & 362 & 731 \\ 
0 & 0 & 0 & 0 \\ 
415 & 1016 & 322 & 573 \\ 
409 & 1021 & 370 & 690 \\ 
408 & 1228 & 327 & 563 \\ 
405 & 1224 & 360 & 684 \\ 
425 & 1039 & 321 & 605 \\ 
422 & 1048 & 362 & 731 \\ 
432 & 1289 & 349 & 589 \\ 
426 & 1301 & 371 & 744 \\ 
0 & 0 & 0 & 0 \\ 
415 & 1011 & 316 & 551 \\ 
410 & 1024 & 378 & 682 \\ 
398 & 1225 & 320 & 540 \\ 
399 & 1225 & 357 & 677 \\ 
415 & 1016 & 316 & 588 \\ 
418 & 1028 & 370 & 717 \\ 
413 & 1253 & 328 & 587 \\ 
408 & 1255 & 359 & 715 \\ 
0 & 0 & 0 & 0 \\ 
413 & 1031 & 337 & 543 \\ 
419 & 1039 & 393 & 703 \\ 
406 & 1264 & 334 & 567 \\ 
402 & 1252 & 368 & 707 \\ 
416 & 1042 & 339 & 587 \\ 
429 & 1027 & 395 & 716 \\ 
415 & 1260 & 329 & 585 \\ 
413 & 1278 & 387 & 722 \\ 
0 & 0 & 0 & 0 \\ 
413 & 1044 & 320 & 566 \\ 
407 & 1052 & 368 & 689 \\ 
418 & 1322 & 334 & 590 \\ 
399 & 1304 & 356 & 675 \\ 
419 & 1058 & 321 & 603 \\ 
430 & 1063 & 369 & 722 \\ 
419 & 1258 & 348 & 590 \\ 
413 & 1253 & 358 & 717 \\ 
0 & 0 & 0 & 0 \\ 
434 & 1078 & 329 & 581 \\ 
423 & 1078 & 379 & 702 \\ 
423 & 1329 & 334 & 580 \\ 
413 & 1319 & 362 & 684 \\ 
426 & 1077 & 330 & 615 \\ 
424 & 1084 & 382 & 725 \\ 
426 & 1278 & 346 & 606 \\ 
423 & 1290 & 373 & 725 \\ 
0 & 0 & 0 & 0 \\ 
433 & 1073 & 327 & 583 \\ 
421 & 1071 & 373 & 696 \\ 
431 & 1333 & 337 & 599 \\ 
414 & 1321 & 361 & 684 \\ 
433 & 1086 & 332 & 625 \\ 
427 & 1082 & 382 & 730 \\ 
432 & 1309 & 351 & 610 \\ 
417 & 1268 & 361 & 726 \\ 
0 & 0 & 0 & 0 \\ 
398 & 1069 & 326 & 575 \\ 
395 & 1080 & 384 & 707 \\ 
399 & 1336 & 340 & 596 \\ 
384 & 1322 & 360 & 687 \\ 
388 & 1067 & 325 & 601 \\ 
381 & 1085 & 372 & 727 \\ 
393 & 1272 & 346 & 594 \\ 
377 & 1262 & 362 & 717 \\ 
0 & 0 & 0 & 0 \\ 
450 & 1108 & 359 & 622 \\ 
417 & 1089 & 397 & 709 \\ 
445 & 1369 & 356 & 618 \\ 
